ID Number,Title,Preferred Language,Gender,Relationship Types,Faculty of Graduation,Year of Graduation,Province,Lifetime Giving,Year of Last Gift,Year of First Gift,Largest Gift,Events Attended in Lifetime,Past Traveler Y/N,# of Instances of Volunteering,# of Clicks in the Past Month
100039,, ,M,Graduate,Management,1957,ON,3083,1962,1956,2991,15,N,2,0
100040,, ,M,Graduate,Management,1967,BC,11040,1994,1986,8501,5,N,0,19
100041,,E,F,Graduate,Arts -- General,1963,ON,5045,1991,1991,1715,12,N,0,19
100042,CEO, ,M,Graduate,Science -- General,1963,SK,5345,1980,1968,2298,12,N,3,2
100043,, ,M,Graduate,Science -- General,1960,QC,2380,1959,1959,2094,5,N,0,20
100044,,E,F,Graduate,Science -- General,1965,BC,120,1981,1970,76,14,N,1,17
100045,,E,M,Graduate,Arts -- Social Work,1959,SK,21,1960,1959,11,6,N,1,6
100046,, ,M,Graduate,Management,1966,BC,2360,1989,1987,850,14,N,2,7
100047,,E,F,Graduate,Education -- General,1960,SK,2200,1978,1965,1298,0,N,0,17
100048,,F,F,Graduate,Management,1959,QC,5185,1974,1958,3630,8,N,3,17
100049,,E,F,Graduate,Engineer -- General,1961,NB,91169,1970,1968,39203,5,N,3,31
100050,,F,F,Graduate,Medicine -- General,1967,ON,9690,1971,1969,7946,8,Y,0,1
100051,,F,M,Graduate,Medicine -- General,1972,ON,4072,1994,1976,3624,4,N,1,14
100052,,E,F,Graduate,Medicine -- General,1965,QC,2345,1980,1968,1548,4,N,2,5
100053,,E,F,Graduate,Management,1952,ON,8955,1974,1971,8149,4,N,2,1
100054,,F,M,Graduate,Engineer -- General,1961,BC,2040,1988,1977,1244,3,N,0,23
100055,,E,M,Graduate,Agr&Env -- Dietetics,1966,QC,5275,1978,1971,844,0,N,0,8
100056,President,F,F,"Graduate, Former Faculty/Staff, Past Student",Agr&Env -- Dietetics,1953,ON,904,1981,1980,877,3,N,3,15
100057,,E,M,Graduate,Engineer -- General,1963,QC,230225,1985,1971,214109,14,N,0,29
100058,,E,F,Graduate,Science -- General,1965,ON,5646,1974,1966,2654,5,N,1,16
100059,,E,F,Graduate,Management,1969,BC,3950,1983,1972,1738,3,N,1,5
100060,,F,M,"Graduate, Former Faculty/Staff",Management,1965,ON,1015,1975,1973,802,13,N,2,4
100061,,E,M,Graduate,Engineer -- General,1955,ON,10552,1957,1955,3799,10,N,0,20
100062,, ,M,Graduate,Law,1969,SK,3701,1988,1985,814,15,N,3,13
100063,,E,M,Graduate,Medicine -- General,1974,ON,7155,1977,1973,358,1,N,3,15
100064,,E,M,"Graduate, Former Faculty/Staff",Medicine -- General,1960,QC,36495,1964,1962,9489,9,N,0,16
100065,,E,M,Graduate,Arts -- General,1967,MB,10,1982,1980,10,4,N,1,3
100066,,E,M,Graduate,Arts -- General,1967,NL,14056,1968,1966,9558,12,N,2,15
100067,, ,F,Graduate,Arts -- General,1949,BC,5415,1956,1950,5253,14,N,2,8
100068,,F,M,Graduate,Engineer -- General,1968,QC,0,,,,9,N,0,11
100069,,F,M,Graduate,Arts -- General,1969,ON,660691,1970,1968,171780,7,N,0,24
100070,,E,M,Graduate,Medicine -- General,1969,BC,961,1970,1968,576,13,N,3,16
100071,,F,M,Graduate,Management,1963,ON,230317,1973,1970,13819,5,N,0,28
100072,,E,F,Graduate,Medicine -- General,1969,ON,10100,1994,1990,101,1,N,1,20
100073,,E,F,Graduate,Arts -- Social Work,1970,ON,0,,,,2,N,1,23
100074,,E,F,Graduate,Arts -- General,1965,ON,12005,1972,1969,4802,14,N,2,16
100075,CEO,E,F,Graduate,Arts -- General,1956,BC,548,1983,1966,504,10,N,0,13
100076,,E,M,Graduate,Management,1970,QC,575,1984,1976,86,6,N,3,16
100077,,E,F,Graduate,Management,1964,QC,197669,1983,1963,118602,14,N,3,15
100078,,F,M,Graduate,Medicine -- General,1973,ON,11345,1989,1981,681,15,N,0,15
100079,,E,M,Graduate,Medicine -- General,1951,BC,3100,1957,1954,1550,1,Y,1,5
100080,,E,F,Graduate,Medicine -- General,1971,NL,1150,1980,1976,1081,14,N,2,3
100081,,E,M,Graduate,Arts -- Information (Library) Studies,1964,QC,600,1991,1971,480,4,N,2,12
100082,,E,M,"Graduate, Former Faculty/Staff",Management,1962,NB,2770991,1981,1974,969847,4,N,0,19
100083,,F,M,Graduate,Dentistry,1969,ON,575,1995,1984,334,4,N,0,14
100084,,E,F,Graduate,Engineer -- General,1967,ON,4100,1987,1983,287,7,N,3,13
100085,,E,F,Graduate,Management,1956,QC,3977,1966,1957,3699,9,N,0,3
100086,,F,F,Graduate,Management,1961,NL,6477,1971,1961,3303,0,N,1,12
100087,,E,F,Graduate,Agr&Env -- General,1970,ON,0,,,,8,N,1,2
100088,,F,M,Graduate,Engineer -- General,1951,SK,152,1969,1962,137,12,N,2,14
100089,,E,F,Graduate,Engineer -- General,1965,QC,3700,1972,1970,3478,13,N,0,10
100090,,E,F,Graduate,Science -- General,1948,QC,24700,1964,1963,17537,7,N,3,20
100091,,E,F,Graduate,Engineer -- General,1948,ON,12115,1967,1953,11267,4,N,3,20
100092,,E,F,Graduate,Agr&Env -- Dietetics,1956,NB,21975,1966,1965,13625,1,N,0,19
100093,,E,F,Graduate,Engineer -- Architect,1971,NB,50,1973,1971,1,1,N,1,5
100094,,E,F,"Graduate, Past Parent",Management,1951,QC,17803,1979,1963,10148,14,N,2,18
100095,, ,M,"Graduate, Current Parent",Engineer -- General,1959,QC,3590,1978,1966,1903,1,Y,2,20
100096,, ,F,Graduate,Management,1952,ON,9183,1971,1968,7714,15,N,0,12
100097,,E,M,Graduate,Science -- General,1968,QC,0,,,,11,N,0,0
100098,, ,M,"Graduate, Past Parent",Management,1965,ON,55955,1982,1971,10631,6,Y,3,21
100099,President,E,F,Graduate,Management,1965,QC,15479,1978,1975,15169,14,Y,0,20
100100,,E,F,Graduate,Engineer -- General,1951,QC,566584,1952,1950,521257,13,N,1,35
100101,, ,M,Graduate,Engineer -- General,1956,MB,2094,1975,1966,1382,12,N,1,8
100102,,F,M,Graduate,Arts -- General,1960,QC,12429,1975,1975,1740,10,N,2,19
100103,,F,F,Graduate,Engineer -- General,1949,ON,210,1975,1955,113,14,N,0,14
100104,,F,F,Graduate,Arts -- General,1950,ON,970,1979,1972,223,3,N,3,14
100105,,E,F,Graduate,Engineer -- General,1948,NB,2200,1973,1973,792,5,N,3,14
100106,,F,F,Graduate,Arts -- General,1967,ON,680845,1995,1981,476591,8,N,0,23
100107,,E,F,Graduate,Arts -- General,1968,NS,519,1965,1965,301,14,N,1,21
100108,,E,F,Graduate,Engineer -- Architect,1970,NL,1090,1984,1982,1036,10,N,2,17
100109,,F,M,Graduate,Science -- General,1964,BC,2395,1979,1970,1748,14,N,2,16
100110,,E,F,Graduate,Science -- General,1967,QC,3120,1972,1969,2621,14,N,0,0
100111,,E,M,Graduate,Science -- General,1968,AB,500,1992,1985,15,14,N,0,12
100112,, ,M,Graduate,Arts -- General,1956,NS,2313,1974,1974,324,15,N,3,20
100113,,E,F,Graduate,Arts -- General,1943,QC,14360,1940,1940,5600,7,N,0,17
100114,,E,F,Graduate,Dentistry,1960,ON,585,1972,1963,298,7,N,1,9
100115,,F,M,Graduate,Science -- General,1969,SK,1597,1993,1987,479,1,N,1,9
100116,,E,M,Graduate,Arts -- General,1961,BC,4015,1970,1966,602,7,N,2,20
100117,,E,M,Graduate,Medicine -- POT,1956,ON,3480,1959,1955,661,11,N,0,1
100118,,E,M,"Graduate, Student",Arts -- General,1970,ON,2275,1967,1967,569,14,N,3,21
100119,,E,F,Graduate,Management,1964,BC,7170,1962,1962,2008,12,Y,3,17
100120,,E,F,Graduate,Engineer -- General,1958,ON,46419,1971,1959,27387,7,Y,0,16
100121,,E,M,Graduate,Engineer -- Architect,1969,ON,170,1978,1970,107,0,N,1,11
100122,,E,M,Graduate,Management,1965,ON,13130,1994,1984,8141,7,N,2,17
100123,, ,M,Graduate,Medicine -- Nursing,1968,NB,11315,1965,1965,9052,10,N,2,16
100124,,E,M,Graduate,Arts -- General,1968,BC,723,1969,1969,65,6,Y,0,15
100125,,E,F,Graduate,Arts -- General,1966,ON,545,1985,1974,360,13,N,0,11
100126,,E,M,Graduate,Science -- General,1969,SK,400,1980,1970,264,7,N,3,11
100127,,E,M,Graduate,Arts -- General,1970,QC,22050,1978,1972,21830,1,N,0,17
100128,,E,M,Graduate,Arts -- General,1961,BC,122260,1967,1965,73356,1,N,1,28
100129,,E,M,Graduate,Dentistry,1967,BC,1590,1968,1967,636,3,N,1,3
100130,,E,F,Graduate,Science -- General,1962,QC,3245,1964,1962,1298,8,Y,2,1
100131,President,E,F,Graduate,Management,1958,ON,130,1966,1965,77,0,N,0,13
100132,,E,F,Graduate,Arts -- General,1964,BC,5310,1985,1978,4301,8,N,3,5
100133,,E,M,Graduate,Engineer -- General,1951,NB,4031,1978,1978,3829,1,N,3,9
100134,,E,F,Graduate,Engineer -- General,1962,QC,11041,1986,1967,331,12,N,0,15
100135,,E,M,Graduate,Management,1965,NS,1903,1973,1965,133,12,N,1,1
100136,,E,M,Graduate,Engineer -- General,1963,QC,2110,1988,1974,380,3,N,2,12
100137,,E,M,Graduate,Medicine -- General,1976,QC,14320,1996,1991,5728,11,N,2,18
100138,,E,F,Graduate,Law,1970,ON,114295,1968,1968,69720,3,N,0,21
100139,,E,M,Graduate,Arts -- General,1964,AB,18317,1993,1993,8609,1,N,0,15
100140,,E,M,Graduate,Science -- General,1965,SK,15463,1964,1964,4484,12,Y,3,16
100141,,E,M,Graduate,Arts -- General,1967,BC,43018,1979,1970,19788,1,N,0,20
100142,,E,F,Graduate,Engineer -- General,1959,ON,2945,1963,1959,2267,0,N,1,11
100143,,E,F,Graduate,Engineer -- General,1968,QC,1965,1996,1969,550,4,N,1,22
100144,, ,M,Graduate,Arts -- General,1955,QC,130496,1983,1966,39149,4,Y,2,34
100145,,E,F,Graduate,Management,1969,ON,308,1977,1974,277,14,N,0,1
100146,,E,F,Graduate,Law,1972,ON,1000,1970,1970,720,5,N,3,9
100147,,E,F,Graduate,Arts -- General,1962,QC,3110,1971,1971,1679,3,N,3,7
100148,, ,F,Graduate,Medicine -- General,1970,ON,11240,1990,1983,8542,3,N,0,15
100149,,E,F,Graduate,Law,1964,ON,2715,1965,1964,896,14,N,1,5
100150,"Chairman, CEO", ,M,Graduate,Medicine -- General,1968,QC,208965,1984,1980,133738,10,N,2,23
100151,,E,M,"Graduate, Former Faculty/Staff",Agr&Env -- General,1972,ON,640,1993,1973,557,9,N,2,21
100152,,E,F,Graduate,Engineer -- General,1961,ON,3280,1967,1960,394,7,N,0,13
100153,,E,F,Graduate,Arts -- General,1960,QC,17720,1975,1972,8328,9,Y,0,16
100154,, ,M,Graduate,Arts -- Social Work,1969,NS,0,,,,2,N,3,22
100155,,E,F,"Graduate, Former Faculty/Staff",Arts -- General,1969,QC,2613,1966,1966,1280,3,N,0,9
100156,,E,M,Graduate,Law,1967,QC,4190,1979,1976,210,7,N,1,4
100157,,E,M,Graduate,Management,1963,QC,1030,1989,1985,134,13,N,1,22
100158,,E,F,Graduate,Dentistry,1973,SK,4000,1994,1986,3960,14,N,2,11
100159,,E,M,Graduate,Medicine -- Nursing,1962,QC,927,1992,1985,445,11,Y,0,0
100160,,E,M,Graduate,Music,1969,ON,0,,,,2,N,3,5
100161,,E,M,Graduate,Arts -- General,1966,NB,112166,1971,1966,70664,6,N,3,16
100162,, ,F,Graduate,Arts -- General,1961,ON,1178,1963,1961,659,5,N,0,3
100163,, ,M,Graduate,Arts -- General,1963,BC,60,1960,1960,32,5,N,1,19
100164,,E,M,Graduate,Dentistry,1978,BC,52500,1994,1979,23100,2,N,2,31
100165,,E,F,Graduate,Management,1953,ON,149,1960,1960,86,14,N,2,9
100166,,E,F,Graduate,Science -- General,1954,QC,5915,1977,1967,1952,4,N,0,16
100167,,E,M,Graduate,Music,1967,ON,550,1970,1970,319,9,Y,0,14
100168,,E,F,Graduate,Arts -- General,1944,BC,25960,1970,1953,24143,8,N,3,15
100169,,E,M,Graduate,Arts -- General,1956,BC,1260,1981,1959,781,3,N,0,22
100170,,E,M,Graduate,Engineer -- General,1965,QC,5550,1964,1964,500,0,N,1,23
100171,,E,M,Graduate,Science -- General,1961,ON,1613,1961,1961,951,1,N,1,0
100172,,E,M,Graduate,Engineer -- Architect,1967,NB,15045,1975,1966,9629,13,N,2,16
100173,, ,F,Graduate,Science -- General,1962,ON,4560,1978,1961,3648,9,Y,0,2
100174,,E,M,Graduate,Science -- General,1960,QC,10160,1964,1960,2032,12,N,3,20
100175,,E,F,Graduate,Arts -- General,1967,QC,935,1992,1988,795,1,N,3,18
100176,,E,F,"Graduate, Past Parent",Engineer -- General,1939,AB,2030,1957,1954,751,4,N,0,9
100177,,F,F,Graduate,Management,1965,QC,675,1971,1967,317,12,N,1,19
100178,,E,F,Graduate,Medicine -- Nursing,1965,BC,740,1994,1988,540,4,N,2,20
100179,,E,M,Graduate,Arts -- General,1968,NS,90000,1977,1969,40500,5,N,2,32
100180,,E,M,Graduate,Medicine -- General,1959,MB,50,1972,1964,44,0,N,0,13
100181,,E,M,Graduate,Medicine -- General,1970,QC,0,,,,15,N,0,23
100182,,F,F,Graduate,Engineer -- General,1961,AB,13550,1965,1965,11653,13,N,3,18
100183,,E,M,Graduate,Arts -- General,1954,ON,5685,1980,1980,2160,15,N,0,20
100184,,E,F,Graduate,Engineer -- General,1970,ON,5853,1976,1969,2634,6,N,1,6
100185,,F,F,Graduate,Science -- General,1962,SK,5080,1988,1964,4877,12,N,1,1
100186,,F,M,Graduate,Law,1963,BC,10,1984,1979,6,0,Y,2,7
100187,, ,M,Graduate,Engineer -- General,1963,ON,1460,1990,1985,540,5,N,0,12
100188,,E,M,Graduate,Engineer -- General,1967,ON,1470,1966,1966,838,4,N,3,4
100189,President,E,M,Graduate,Engineer -- General,1947,BC,19655,1976,1951,5897,3,Y,3,15
100190,,E,F,Graduate,Science -- General,1964,ON,6100,1983,1979,427,13,N,0,14
100191,,E,M,Graduate,Medicine -- General,1952,ON,19196,1958,1952,18620,4,N,1,20
100192,,E,M,Graduate,Agr&Env -- General,1954,ON,9879,1965,1964,296,11,N,2,9
100193,,E,M,Graduate,Dentistry,1969,QC,10806,1979,1979,9942,13,N,2,20
100194,,E,M,Graduate,Agr&Env -- General,1969,NS,1745,1968,1968,1658,4,N,0,10
100195,, ,F,Graduate,Science -- General,1962,ON,210,1990,1976,206,10,N,0,3
100196,CEO, ,F,Graduate,Engineer -- General,1962,MB,15722,1977,1963,9119,0,N,3,19
100197,, ,F,Graduate,Engineer -- General,1962,ON,1400,1967,1965,714,0,N,0,13
100198,President, ,M,"Graduate, Past Parent",Law,1963,ON,15665,1971,1967,2976,1,N,1,17
100199,,E,F,"Graduate, Past Student",Arts -- General,1963,NL,17000,1960,1960,16660,5,N,1,20
100200,, ,M,Graduate,Arts -- General,1969,ON,1140,1981,1971,832,12,N,2,2
100201,,E,M,Graduate,Law,1969,ON,3423,1981,1972,1540,5,N,0,23
100202,,E,M,Graduate,Arts -- General,1968,ON,0,,,,7,N,3,4
100203,,E,M,Graduate,Medicine -- General,1972,ON,12300,1991,1987,3813,13,N,3,20
100204,,E,F,Graduate,Arts -- General,1967,QC,0,,,,13,N,0,3
100205,,E,F,Graduate,Management,1952,NB,12791,1961,1956,6779,0,N,1,18
100206,,E,M,Graduate,Arts -- General,1967,ON,0,,,,13,N,2,22
100207,,E,F,Graduate,Law,1974,ON,119993,1987,1980,86395,1,N,2,33
100208,,E,F,Graduate,Arts -- General,1970,QC,133378,1997,1993,88029,12,N,0,22
100209,,E,F,Graduate,Arts -- Information (Library) Studies,1956,ON,3530,1953,1953,671,7,N,0,4
100210,,E,F,Graduate,Medicine -- General,1971,ON,2480,2000,1999,1686,13,N,3,6
100211,,E,M,Graduate,Arts -- General,1967,SK,18180,1967,1967,17271,9,N,0,15
100212,,E,M,Graduate,Arts -- General,1970,QC,0,,,,3,N,1,2
100213,, ,M,Graduate,Engineer -- Architect,1956,ON,5635,1983,1961,5410,11,N,1,4
100214,, ,F,Graduate,Medicine -- POT,1968,BC,48,1974,1968,0,3,N,2,15
100215,, ,F,Graduate,Management,1951,NS,5994,1962,1952,3177,0,N,0,23
100216,,E,M,Graduate,Management,1956,BC,450,1986,1986,180,7,N,3,19
100217,CEO,E,F,Graduate,Science -- General,1968,ON,0,,,,11,N,3,3
100218,,F,M,Graduate,Arts -- General,1961,ON,9565,1988,1979,670,3,N,0,18
100219,,E,M,Graduate,Arts -- General,1965,BC,4735,1962,1962,284,15,N,1,3
100220,,E,F,Graduate,Engineer -- General,1955,PE,3237,1957,1954,1716,5,N,2,18
100221,,E,M,Graduate,Medicine -- General,1955,BC,2477,1955,1955,1362,12,N,2,4
100222,,E,M,Graduate,Arts -- General,1965,MB,937,1966,1966,731,5,N,0,19
100223,,E,M,Graduate,Management,1969,QC,163680,1976,1969,162043,11,N,0,34
100224,, ,F,Graduate,Science -- General,1957,ON,33370,1977,1966,10011,0,N,3,16
100225,,E,M,"Graduate, Former Faculty/Staff",Arts -- General,1944,QC,467,1942,1942,145,14,N,0,6
100226,,E,M,Graduate,Science -- General,1968,BC,0,,,,11,N,1,2
100227,,E,F,Graduate,Arts -- General,1964,BC,940,1980,1973,188,13,N,1,4
100228,, ,F,Graduate,Engineer -- General,1955,QC,11395,1967,1955,1253,7,N,2,17
100229,,E,F,Graduate,Science -- General,1952,ON,4347,1961,1958,2043,6,N,0,20
100230,,E,F,Graduate,Science -- General,1968,ON,14,1982,1981,4,7,N,3,10
100231,, ,M,Graduate,Agr&Env -- General,1960,SK,4400,1958,1958,2596,5,N,3,15
100232,,E,F,Graduate,Medicine -- General,1965,ON,4485,1964,1964,2556,7,N,0,20
100233,, ,F,Graduate,Agr&Env -- General,1969,NB,1060,1979,1978,382,8,N,1,15
100234,,E,F,Graduate,Engineer -- General,1964,QC,250,1981,1974,3,14,N,2,17
100235,,E,M,Graduate,Arts -- General,1968,ON,576,1965,1965,207,12,N,2,12
100236,President, ,F,Graduate,Science -- General,1956,QC,2481,1960,1956,496,11,N,0,9
100237,,E,F,Graduate,Law,1970,QC,0,,,,14,N,0,9
100238,, ,M,"Graduate, Past Parent",Engineer -- Architect,1965,QC,27120,1984,1980,14102,2,N,3,17
100239,,E,F,Graduate,Law,1954,NL,17924,1951,1951,15952,8,N,0,18
100240,,E,M,Graduate,Law,1967,QC,7181,1986,1983,862,15,N,1,1
100241,,E,F,Graduate,Management,1960,ON,70,1982,1971,32,14,N,1,1
100242,, ,M,Graduate,Management,1970,QC,2460,1977,1972,640,8,N,2,6
100243,,F,M,Graduate,Arts -- General,1954,BC,5194433,1981,1979,155833,13,N,0,24
100244,,E,F,Graduate,Management,1968,NS,1013605,1965,1965,415578,12,N,3,19
100245,,E,F,Graduate,Arts -- Information (Library) Studies,1973,BC,1004500,1995,1993,522340,1,N,3,28
100246,, ,M,Graduate,Management,1957,ON,3485,1971,1964,2196,8,N,0,7
100247,President,E,M,Graduate,Science -- General,1965,QC,1849662,1992,1973,1331757,14,N,1,15
100248,, ,M,Graduate,Management,1967,ON,1810363,1974,1971,651731,13,N,2,26
100249,,E,F,Graduate,Science -- General,1959,QC,59065,1989,1989,45480,8,N,2,21
100250,,F,F,Graduate,Management,1967,NS,1685,1973,1970,758,14,N,0,7
100251,, ,F,Graduate,Arts -- General,1970,NS,475,1994,1983,109,2,N,0,16
100252,,F,M,"Graduate, Past Parent",Engineer -- General,1961,MB,575,1963,1962,495,12,N,3,23
100253,,F,M,Graduate,Law,1974,ON,4140,1996,1976,1366,4,N,0,21
100254,,E,M,"Graduate, Former Faculty/Staff",Arts -- General,1966,NS,693,1984,1974,229,7,N,1,21
100255,,F,M,Graduate,Science -- General,1965,ON,11555,1984,1978,8782,15,N,1,20
100256,,F,M,Graduate,Engineer -- General,1969,ON,816,1969,1969,383,4,N,2,6
100257,, ,F,Graduate,Dentistry,1952,BC,10045,1957,1955,5826,3,Y,0,15
100258,,E,F,Graduate,Management,1968,ON,10,1965,1965,1,8,N,3,9
100259,"Chairman, CEO", ,F,Graduate,Engineer -- General,1958,ON,9119,1963,1963,182,6,N,3,13
100260,,E,F,Graduate,Arts -- General,1939,AB,354085,1958,1958,191206,8,N,0,34
100261,, ,M,Graduate,Engineer -- General,1965,ON,200,1986,1964,198,10,N,1,14
100262,,E,F,Graduate,Dentistry,1963,BC,12415,1971,1962,3973,11,N,2,19
100263,, ,M,Graduate,Law,1970,NB,200,1996,1984,34,9,N,2,17
100264,, ,F,Graduate,Law,1959,QC,11155,1979,1966,3570,14,N,0,16
100265,,F,F,Graduate,Engineer -- General,1950,ON,34729,1960,1954,10766,11,N,0,20
100266,,F,F,Graduate,Management,1964,ON,57870,1973,1973,35879,10,Y,3,20
100267,,E,F,Graduate,Arts -- General,1962,ON,2387,1979,1975,24,8,N,0,18
100268,,E,F,Graduate,Dentistry,1971,QC,0,,,,9,N,1,19
100269,, ,M,Graduate,Arts -- General,1950,AB,40,1973,1961,21,14,N,1,21
100270,, ,F,Graduate,Arts -- General,1970,QC,21200,1980,1974,2544,14,N,2,20
100271,, ,F,Graduate,Science -- General,1953,BC,2003,1966,1956,1282,0,N,0,0
100272,,E,M,Graduate,Science -- General,1967,QC,21000,1972,1969,3150,13,N,3,15
100273,,E,F,Graduate,Management,1968,QC,1480,1983,1970,651,8,N,3,8
100274,,E,M,Graduate,Management,1952,ON,27860,1967,1964,21731,14,N,0,19
100275,,E,F,Graduate,Engineer -- General,1963,BC,9635,1986,1964,7226,8,N,1,9
100276,,E,M,Graduate,Engineer -- General,1962,NB,9310,1989,1969,745,7,N,2,18
100277,,E,M,Graduate,Agr&Env -- General,1969,MB,200,1980,1970,190,14,N,2,11
100278,President,E,M,Graduate,Arts -- General,1965,ON,9100,1972,1966,3913,1,N,0,20
100279,, ,F,Graduate,Arts -- General,1968,QC,160,1998,1976,83,4,N,0,7
100280,,E,F,Graduate,Engineer -- General,1963,ON,27985,1967,1966,3078,7,N,3,15
100281,,E,M,Graduate,Engineer -- General,1962,ON,10042,1979,1975,5724,6,N,0,16
100282,,E,M,Graduate,Agr&Env -- General,1965,ON,1796,1984,1982,1670,8,N,1,9
100283,,E,M,Graduate,Agr&Env -- Dietetics,1962,QC,250,1985,1969,98,13,N,1,18
100284,,E,M,Graduate,Science -- General,1968,SK,2590,1976,1972,492,5,Y,2,23
100285,,E,F,Graduate,Engineer -- General,1968,BC,0,,,,0,N,0,19
100286,, ,M,Graduate,Dentistry,1971,QC,20545,1986,1977,4931,6,N,3,20
100287,,E,F,Graduate,Engineer -- General,1968,ON,1075,1977,1976,1000,11,N,3,17
100288,,F,F,Graduate,Medicine -- General,1953,ON,24547,1967,1952,9819,9,N,0,16
100289,,E,F,Graduate,Medicine -- General,1974,NB,3685,1990,1978,3611,5,N,1,2
100290,, ,F,Graduate,Management,1960,NS,6625,1972,1966,3644,3,N,2,11
100291,, ,F,Graduate,Science -- General,1959,ON,83,1964,1961,46,8,N,2,4
100292,,E,F,Graduate,Arts -- General,1953,QC,1393,1961,1957,627,11,N,0,22
100293,, ,M,Graduate,Arts -- General,1966,QC,250,1978,1977,178,13,N,0,3
100294,, ,M,Graduate,Engineer -- General,1951,QC,7232,1953,1950,2025,6,N,3,11
100295,,E,F,Graduate,Management,1957,ON,485,1984,1973,131,14,N,0,20
100296,,E,M,Graduate,Arts -- General,1962,NL,25508,1986,1966,20661,12,N,1,17
100297,, ,F,Graduate,Arts -- Social Work,1957,ON,3274,1979,1964,2783,5,N,1,11
100298,,E,M,Graduate,Agr&Env -- General,1955,QC,364,1965,1964,339,14,N,2,3
100299,, ,F,Graduate,Arts -- Information (Library) Studies,1966,ON,735,1983,1972,287,5,N,0,8
100300,,E,F,Graduate,Engineer -- General,1955,AB,4222,1961,1957,802,6,N,3,16
100301,,E,M,Graduate,Management,1968,ON,0,,,,3,N,3,15
